Índice de precios de consumo (IPC). Por grupos de consumo
Cataluña
Variación interanual %
Fuente: INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=basics&n=10261&col=3&lang=es
;Índice general;Alimentos y bebidas no alcohólicas;Bebidas alcohólicas, tabaco y estupefacientes;Vestido y calzado;Vivienda, agua, electricidad, gas y otros combustibles;Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Sanidad;Transporte;Información y comunicaciones;Actividades recreativas, deporte y cultura;Servicios de educación;Restaurantes y servicios de alojamiento;Seguros y servicios financieros;Cuidado personal, protección social, y bienes y servicios diversos
04/2026;3,0;2,6;4,5;4,0;1,4;1,3;1,5;5,2;0,8;0,8;3,0;4,3;5,5;3,7
03/2026;3,1;2,4;4,1;3,5;2,7;1,0;1,6;4,4;0,5;2,8;3,0;4,1;4,9;4,0
02/2026;2,0;2,7;4,0;-0,3;1,0;0,7;1,5;-0,4;0,1;1,5;3,0;4,4;4,6;4,1
01/2026;2,0;2,6;4,5;-0,7;1,8;0,6;1,5;-0,6;0,2;2,3;3,0;3,7;5,9;3,1
12/2025;2,5;2,7;4,1;0,8;4,1;0,2;1,3;1,3;0,5;1,1;3,0;4,1;6,0;2,8
11/2025;2,6;2,4;4,4;1,0;4,1;0,8;1,3;1,6;0,7;2,5;3,1;3,7;6,0;2,6
10/2025;2,6;2,3;3,6;1,4;5,5;0,9;1,2;1,7;0,7;0,9;2,8;3,5;6,0;2,7
09/2025;2,6;2,5;4,1;1,9;5,2;0,7;1,1;1,7;-0,2;1,9;3,7;3,0;6,0;2,8
08/2025;2,4;2,3;3,8;1,4;4,5;0,3;1,0;0,6;-0,3;1,5;2,8;4,2;6,0;2,7
07/2025;2,3;2,4;3,7;1,7;5,1;0,2;1,0;-0,5;-0,7;1,7;2,8;3,9;6,0;2,3
06/2025;2,0;2,6;4,4;1,1;3,0;0,4;0,9;-1,1;0,4;1,5;2,8;4,0;6,0;2,5
05/2025;1,8;2,5;3,8;1,6;2,6;0,4;0,9;-2,3;0,2;1,7;2,8;4,3;6,5;2,7
04/2025;2,1;2,3;2,2;0,4;2,9;0,0;1,3;-1,9;0,4;4,6;2,8;4,9;6,5;2,8
03/2025;2,2;2,7;3,4;0,3;4,7;0,4;1,1;-1,3;0,4;0,6;2,8;4,0;6,5;3,0
02/2025;3,1;2,9;3,2;0,2;8,9;0,3;1,4;0,1;0,6;2,8;2,8;3,8;6,4;3,1
01/2025;3,0;2,2;4,5;-0,1;7,4;0,5;1,4;1,0;0,1;3,1;2,8;4,2;6,4;3,3
12/2024;2,9;1,9;4,8;0,6;7,1;0,3;1,4;0,5;-0,1;4,3;2,8;4,0;6,2;3,4
11/2024;2,6;2,0;3,4;0,3;7,0;0,2;1,7;-0,5;-0,5;3,1;2,7;4,4;6,2;3,3
10/2024;2,0;2,0;4,2;1,5;4,4;0,2;1,7;-2,7;-0,2;1,7;2,7;4,5;6,2;3,3
09/2024;1,7;1,9;3,5;1,4;3,0;0,3;1,8;-3,8;-0,3;1,2;2,8;5,3;6,2;3,1
08/2024;2,4;2,6;3,7;1,1;3,9;0,4;1,9;-1,1;-0,3;2,6;3,3;4,3;6,2;3,3
07/2024;2,9;3,1;3,5;0,8;3,0;0,7;1,9;2,8;0,2;1,7;3,3;4,3;6,2;3,3
06/2024;3,6;3,8;3,9;1,9;4,7;0,5;2,4;3,3;0,3;3,7;3,3;4,7;6,2;3,6
05/2024;3,6;3,8;4,0;1,3;4,8;1,0;2,6;4,3;0,1;3,3;3,3;4,6;5,0;3,5
04/2024;3,3;4,1;4,2;1,4;3,9;1,4;2,4;3,4;0,0;1,8;3,3;4,2;5,0;3,4
03/2024;3,1;3,9;4,1;1,9;1,0;1,3;2,6;3,6;0,5;4,1;3,3;4,8;5,0;2,7
02/2024;2,7;4,7;5,4;2,4;-3,1;2,0;2,6;2,8;0,1;3,7;3,3;5,1;5,0;3,1
01/2024;3,3;7,0;4,4;3,0;0,4;2,0;2,4;0,7;0,5;4,0;3,3;5,1;4,6;3,3
12/2023;3,2;6,9;3,8;1,3;-5,6;2,7;2,6;5,6;2,3;3,4;3,9;5,3;5,2;3,4
11/2023;3,1;8,3;7,7;2,0;-5,4;3,4;2,1;1,1;2,5;3,0;3,3;5,5;5,2;3,7
10/2023;3,4;8,3;7,8;2,0;-7,0;4,0;2,7;2,3;2,4;5,5;3,3;5,8;5,2;3,8
09/2023;3,4;9,6;8,4;1,7;-11,8;4,5;2,8;4,5;2,7;6,6;2,0;5,7;5,2;4,0
08/2023;2,5;9,5;8,2;2,2;-15,9;5,0;2,9;2,1;2,8;9,3;0,6;5,4;5,2;4,0
07/2023;2,3;10,1;8,1;2,1;-13,2;5,2;3,2;-4,8;2,6;9,8;0,6;5,7;5,2;4,3
06/2023;1,9;10,0;8,0;1,0;-10,8;5,8;2,8;-7,5;1,1;7,2;0,6;6,3;5,2;4,4
05/2023;3,2;11,5;8,6;2,0;-8,7;6,1;2,8;-3,5;1,3;6,3;0,6;7,1;2,7;4,8
04/2023;3,9;12,2;8,6;1,6;-9,2;6,7;2,5;0,8;1,1;5,9;0,6;7,2;2,7;5,0
03/2023;3,1;14,6;8,5;3,2;-12,9;7,8;2,3;-5,0;1,2;6,7;0,6;7,3;2,7;5,1
02/2023;5,6;14,5;8,1;5,1;-4,1;7,8;2,8;1,8;1,6;4,0;0,6;7,0;2,7;4,6
01/2023;5,3;13,2;7,7;4,8;-5,7;8,1;2,7;5,3;1,2;3,5;0,6;6,4;2,5;4,6
12/2022;5,2;13,4;6,7;4,3;-2,5;8,5;2,5;2,3;-2,2;6,4;-0,1;6,4;1,9;4,4
11/2022;6,4;13,5;4,2;3,3;2,2;8,5;2,7;6,9;-2,2;4,9;0,6;6,3;1,9;4,2
10/2022;6,8;14,0;3,7;1,9;3,6;8,0;2,1;8,3;-2,2;4,8;0,7;7,0;2,3;4,3
09/2022;8,5;12,9;4,0;5,8;13,9;7,8;2,0;9,2;-2,4;4,6;0,9;7,2;2,3;3,9
08/2022;10,2;12,1;4,1;9,3;22,6;7,3;1,9;11,3;-2,1;5,6;1,5;7,3;2,3;4,0
07/2022;10,3;11,7;4,4;8,7;21,4;6,9;1,6;16,0;-1,9;4,6;1,5;7,2;1,9;3,6
06/2022;9,7;11,0;3,7;4,9;17,8;6,3;1,6;19,3;-0,4;3,9;1,6;6,8;2,8;3,3
05/2022;8,2;9,3;3,3;3,5;16,4;5,7;1,4;14,8;-0,4;3,1;1,6;5,5;3,1;3,0
04/2022;8,0;8,8;3,2;3,1;17,6;5,0;1,7;12,9;0,0;3,8;1,6;4,7;3,1;2,8
03/2022;9,5;6,4;2,9;6,0;28,8;3,9;1,5;18,9;-0,5;1,3;1,7;3,4;3,1;2,6
02/2022;7,4;5,4;2,0;5,8;22,3;3,4;0,9;12,9;-0,8;1,9;1,6;2,8;3,1;2,0
01/2022;5,9;4,5;1,3;5,1;15,8;2,5;0,8;11,4;-0,6;1,3;1,6;2,5;3,5;1,5
12/2021;6,1;4,7;1,6;1,1;20,0;1,9;1,0;10,8;-0,4;1,5;1,6;2,3;3,6;0,8
11/2021;5,3;3,3;1,0;1,0;14,7;1,1;1,0;13,7;-0,4;1,9;1,6;2,0;3,6;0,9
10/2021;5,2;1,7;0,7;1,2;17,7;1,0;1,1;12,5;-0,4;1,7;1,4;1,7;3,2;0,5
09/2021;3,7;1,5;-0,1;1,1;12,4;0,6;0,9;9,9;-2,2;1,5;-3,7;1,0;3,2;0,6
08/2021;3,1;2,0;-0,2;1,2;10,0;0,7;0,9;8,9;-2,7;-0,4;-4,0;1,0;3,2;0,5
07/2021;2,8;1,7;-0,2;1,1;8,4;0,7;1,0;8,7;-2,8;-0,3;-4,0;0,7;3,5;0,7
06/2021;2,6;1,4;-0,1;0,9;9,1;0,6;1,0;9,4;-3,8;-0,1;-4,0;-1,3;2,6;0,7
05/2021;2,6;0,9;-0,2;1,0;8,7;0,5;0,8;10,0;-3,8;1,1;-4,0;-1,4;1,9;0,6
04/2021;2,0;0,3;-0,3;1,0;8,5;0,6;0,8;7,8;-4,0;-0,6;-4,0;-1,0;1,9;0,6
03/2021;1,3;1,6;-0,1;1,1;3,7;0,5;0,9;4,0;-4,3;0,6;-4,1;-0,6;1,9;1,0
02/2021;-0,1;1,7;0,0;1,1;-0,9;0,3;0,2;-1,4;-3,1;0,3;-4,1;-0,2;1,9;1,0
01/2021;0,4;2,1;0,5;1,1;2,5;0,7;0,5;-3,6;-3,2;1,1;-4,1;0,5;1,7;1,3
12/2020;-0,6;1,5;0,5;1,0;-0,8;0,3;0,1;-4,6;-3,6;-1,2;-4,1;0,3;1,5;1,2
11/2020;-1,0;1,3;0,6;1,2;-2,5;0,2;0,1;-5,4;-4,0;0,1;-4,1;0,2;1,5;1,2
10/2020;-1,1;2,5;0,5;1,0;-3,8;0,1;0,0;-5,5;-4,0;0,0;-4,1;-0,7;1,5;1,4
09/2020;-0,5;2,5;0,8;1,0;-1,7;0,3;0,2;-5,5;-1,8;-0,6;0,9;-0,1;1,5;1,4
08/2020;-0,8;2,1;0,7;1,1;-2,8;0,3;0,3;-5,0;-1,6;-2,2;1,1;-0,4;1,5;1,4
07/2020;-0,8;2,3;0,6;1,1;-3,8;0,6;-0,2;-5,0;-1,3;-1,5;1,1;-0,2;1,5;1,7
06/2020;-0,6;2,3;0,5;0,9;-3,5;0,5;-0,3;-5,8;-0,1;-0,4;1,1;1,5;1,5;1,5
05/2020;-1,0;3,4;0,8;0,9;-5,4;0,8;-0,1;-8,6;-0,3;-0,1;1,2;1,6;2,5;1,6
04/2020;-0,7;3,9;0,8;1,0;-5,7;0,8;-0,3;-7,4;-0,1;0,0;1,2;2,1;2,5;1,3
03/2020;0,0;2,4;0,5;1,1;-4,4;0,8;-0,1;-2,7;0,1;0,4;1,2;2,5;2,6;1,2
02/2020;0,8;2,0;0,8;1,2;-3,3;0,6;0,3;1,8;-1,0;1,5;1,2;2,6;2,6;1,3
01/2020;1,2;2,1;0,8;1,1;-3,1;0,8;0,0;4,1;-0,5;1,2;1,2;2,2;2,7;1,2
12/2019;0,9;2,1;0,6;1,0;-4,3;1,0;0,4;3,5;-0,3;1,3;1,3;2,2;2,6;1,5
11/2019;0,5;2,2;0,6;1,0;-3,5;1,3;0,3;-0,2;-0,1;0,6;1,2;2,3;2,6;1,6
10/2019;0,3;1,4;0,8;1,0;-3,3;1,4;0,9;-1,5;0,0;0,6;1,3;2,5;2,6;1,4
09/2019;0,3;1,5;0,6;1,1;-3,8;1,3;0,9;-0,6;-0,2;0,7;1,3;2,2;2,6;1,6
08/2019;0,6;1,8;0,7;0,9;-2,4;1,3;0,8;-0,2;-0,3;0,9;1,2;2,4;2,6;1,5
07/2019;0,8;1,7;0,5;0,8;-1,2;1,1;0,9;0,1;-0,6;0,5;1,2;2,3;3,1;1,3
06/2019;0,7;1,5;0,7;0,9;-0,8;1,1;0,8;-0,4;-0,9;0,6;1,2;2,4;3,1;1,5
05/2019;1,0;1,2;0,9;0,9;0,2;0,8;0,9;1,4;-0,7;-0,6;1,1;2,4;2,7;1,3
04/2019;1,7;1,3;1,2;1,0;2,0;0,7;1,6;2,8;-0,9;1,9;1,1;2,2;2,7;1,7
03/2019;1,4;1,3;1,3;0,9;2,3;0,8;1,3;2,5;-0,2;-1,2;1,1;1,7;2,8;1,3
02/2019;1,1;1,8;1,4;0,9;1,2;1,0;1,1;1,4;-0,2;-1,3;1,1;1,7;2,8;1,5
01/2019;1,0;1,3;1,4;0,9;2,4;0,9;1,1;-0,7;0,8;-0,7;1,1;1,9;2,8;1,5
12/2018;1,4;1,6;1,4;1,1;3,1;0,8;1,0;0,3;0,7;0,2;1,0;2,0;2,6;1,2
11/2018;1,9;1,8;2,0;1,0;3,4;0,6;1,3;3,6;0,6;-0,3;1,1;1,8;2,6;1,0
10/2018;2,4;2,1;2,1;1,1;4,4;0,4;0,7;6,0;0,4;0,4;1,0;1,5;2,6;1,1
09/2018;2,3;1,9;2,1;1,1;5,1;0,4;0,7;5,1;0,8;-0,7;0,9;1,6;2,6;0,6
08/2018;2,2;2,0;2,0;1,0;4,2;0,5;0,7;5,4;0,8;-0,5;0,5;1,4;2,6;0,6
07/2018;2,3;1,8;2,2;0,9;3,7;0,4;0,8;6,3;1,2;-0,2;0,5;1,9;2,4;0,5
06/2018;2,4;2,7;2,3;0,8;2,3;0,5;0,7;6,6;0,9;1,2;0,5;2,1;2,4;0,6
05/2018;2,3;2,5;2,2;0,9;2,0;0,5;0,6;5,7;1,2;1,7;0,5;2,1;2,4;0,7
04/2018;1,2;2,3;2,0;0,9;0,7;0,5;0,0;2,4;1,7;-1,9;0,5;1,8;2,4;0,5
03/2018;1,5;2,1;1,6;0,9;0,9;0,2;0,4;1,9;1,1;1,7;0,5;2,1;2,3;0,8
02/2018;1,4;1,6;1,3;0,6;1,1;0,4;0,8;1,6;1,3;1,3;0,5;2,2;2,3;0,7
01/2018;0,9;1,8;1,0;0,6;-1,8;0,2;1,5;2,5;0,3;0,0;0,5;1,8;2,3;0,4
12/2017;1,2;2,1;1,4;0,6;0,8;-0,2;1,7;2,7;-0,3;-0,7;0,5;1,7;3,2;0,4
11/2017;1,9;2,6;1,6;0,4;1,8;-0,4;1,3;4,1;0,1;2,3;0,5;2,0;3,2;0,5
10/2017;1,9;3,0;1,6;0,4;1,6;-0,1;1,3;2,9;0,0;2,3;0,6;2,6;3,2;0,4
09/2017;2,1;2,1;1,6;0,9;2,2;-0,1;1,5;4,2;0,1;2,4;0,8;2,7;3,2;1,0
08/2017;2,0;0,8;1,9;0,9;2,5;0,1;1,2;3,9;-0,1;1,7;1,1;3,0;3,2;1,2
07/2017;1,9;0,8;1,7;0,6;2,5;0,4;1,4;2,8;0,3;2,5;1,1;2,8;3,9;1,2
06/2017;1,7;1,2;1,5;0,4;3,0;0,1;1,2;2,1;1,0;2,8;1,0;2,5;3,9;0,8
05/2017;2,1;1,3;1,4;0,3;4,6;0,4;1,2;3,7;0,7;2,6;1,0;2,1;3,8;0,8
04/2017;2,8;1,2;1,3;0,5;4,6;0,6;1,5;6,7;0,1;5,3;1,1;2,1;3,8;0,6
03/2017;2,5;1,6;1,6;1,0;3,7;0,6;1,2;6,9;0,4;1,2;1,1;1,7;3,8;0,6
02/2017;3,1;2,0;1,7;1,0;5,2;0,8;0,8;8,9;0,2;1,9;1,1;1,3;3,9;0,5
01/2017;3,1;1,5;1,7;0,9;6,4;0,9;0,4;8,0;1,0;2,1;1,1;1,5;3,5;0,6
12/2016;1,9;1,5;1,0;0,9;0,6;0,9;0,2;4,9;1,4;2,5;1,1;1,8;3,8;0,7
11/2016;1,0;1,1;0,6;1,0;-0,4;1,1;0,2;1,5;1,3;-0,7;1,0;1,5;3,8;0,7
10/2016;0,9;0,6;0,5;1,0;-0,5;1,2;0,1;1,9;1,3;-0,9;1,1;1,4;3,8;0,6
09/2016;0,4;0,9;0,4;0,8;-2,5;1,1;0,1;0,1;0,8;-0,1;1,0;1,2;3,8;0,3
08/2016;0,1;1,9;0,1;0,7;-3,8;1,0;0,4;-1,9;1,0;1,2;1,1;0,4;3,8;0,3
07/2016;-0,4;2,9;0,2;0,7;-4,8;0,7;0,1;-4,1;0,5;0,3;1,1;0,7;2,7;0,1
06/2016;-0,5;1,8;0,3;0,7;-4,8;1,2;0,6;-4,0;0,3;-1,1;1,2;1,1;2,9;0,1
05/2016;-0,7;2,0;0,4;0,6;-5,7;1,0;0,6;-5,0;0,2;-1,5;1,2;1,4;3,3;0,2
04/2016;-0,8;2,1;0,3;0,6;-6,1;1,0;0,5;-5,2;1,7;-2,0;1,1;1,4;3,3;0,3
03/2016;-0,6;1,7;0,2;0,5;-5,2;1,0;-0,1;-5,4;1,1;1,0;1,1;1,6;3,3;0,2
02/2016;-0,5;1,3;0,1;0,5;-5,1;0,7;-0,1;-4,5;1,2;1,3;1,1;1,7;3,3;0,1
01/2016;0,0;2,1;0,6;0,4;-4,8;0,7;-0,1;-1,7;0,0;0,8;1,1;1,3;3,3;0,0
12/2015;0,3;2,1;1,1;0,5;-1,6;0,6;0,2;-2,7;-0,6;1,4;1,1;0,9;3,3;0,4
11/2015;0,0;2,0;0,9;0,5;-1,8;0,8;0,3;-4,7;-0,4;1,8;1,1;1,1;3,3;0,4
10/2015;-0,3;2,4;1,0;0,6;-3,5;0,8;0,3;-5,8;-0,5;1,6;1,2;1,2;3,3;0,6
09/2015;-0,5;2,4;1,1;0,5;-3,5;0,5;0,1;-6,5;-1,4;1,2;1,4;1,3;3,3;0,7
08/2015;-0,1;2,5;1,1;0,5;-1,4;0,2;-0,3;-5,4;-1,6;0,5;1,4;1,3;3,3;0,4
07/2015;0,4;1,8;1,1;0,6;0,1;0,6;0,2;-3,4;-1,8;1,1;1,4;1,2;3,3;0,6
06/2015;0,3;2,3;1,4;0,6;-0,5;0,4;-0,1;-2,8;-3,1;0,6;1,3;1,3;2,9;0,6
05/2015;0,1;2,1;1,4;0,5;-1,8;0,2;-0,1;-2,1;-3,2;0,7;1,3;0,8;3,0;0,4
04/2015;-0,3;1,4;1,3;0,3;-1,4;-0,3;-0,2;-3,3;-4,7;0,1;1,3;0,5;3,0;0,5
03/2015;-0,3;1,4;1,2;0,0;-1,4;-0,6;0,2;-3,5;-5,6;1,3;1,3;0,7;3,0;0,5
02/2015;-0,8;1,0;1,3;0,0;-1,5;-0,6;0,4;-5,8;-5,6;0,3;1,3;0,8;3,0;0,6
01/2015;-0,9;0,4;0,7;0,0;-0,1;-0,5;0,2;-8,1;-5,6;1,3;1,3;0,8;4,2;0,6
12/2014;-0,7;0,2;0,0;0,3;0,4;-0,1;-0,1;-5,8;-6,3;0,4;1,4;0,9;3,5;0,0
11/2014;-0,1;0,7;0,1;0,5;0,7;-0,3;-0,2;-1,8;-6,5;0,0;1,4;0,6;3,5;0,0
10/2014;0,1;1,0;-0,1;0,4;1,7;-0,3;-0,2;-1,1;-6,4;-1,4;1,2;0,5;3,5;0,0
09/2014;0,1;-0,1;0,0;0,3;2,5;-0,2;0,3;-1,0;-6,6;-0,6;1,1;0,5;3,5;-0,2
08/2014;-0,1;-1,4;0,1;0,0;1,4;0,1;0,5;-0,3;-6,4;0,0;0,7;0,7;3,5;0,0
07/2014;0,0;-1,2;0,3;0,0;1,6;-0,3;0,4;0,1;-6,3;0,0;0,7;0,5;3,5;0,0
06/2014;0,4;-0,9;2,0;0,3;2,4;-0,9;0,4;1,1;-6,1;0,8;0,7;0,5;3,7;0,0
05/2014;0,5;-0,5;2,0;0,5;2,9;-0,5;0,5;0,8;-5,9;0,6;0,7;0,7;2,8;-0,2
04/2014;0,7;0,2;2,3;0,4;2,7;0,2;1,4;-0,2;-5,7;2,3;0,7;0,9;2,8;-0,5
03/2014;0,1;0,6;2,5;0,1;1,2;0,5;1,6;-1,6;-6,6;-0,7;0,7;0,4;2,8;-0,3
02/2014;0,2;1,4;2,5;0,0;1,2;0,3;1,4;-2,1;-6,7;0,9;0,7;0,2;2,7;0,0
01/2014;0,3;1,2;2,8;-0,1;1,2;0,3;2,2;-0,7;-6,6;0,3;0,7;0,0;1,8;0,0
12/2013;0,2;1,2;5,3;0,0;0,6;0,5;-4,2;0,6;-6,4;-0,2;0,7;0,3;1,7;0,4
11/2013;0,3;1,2;5,6;0,3;0,5;0,5;-4,1;-0,1;-6,3;1,1;0,7;0,2;1,7;0,6
10/2013;-0,1;1,5;5,9;0,3;0,5;0,7;-4,2;-2,6;-7,0;0,6;0,7;0,3;1,7;0,6
09/2013;0,5;2,4;6,0;0,2;-0,5;1,4;-4,6;-2,0;-5,9;2,0;12,1;0,6;2,2;1,7
08/2013;1,7;4,1;6,4;-0,2;0,6;2,0;-0,5;-0,8;-4,2;4,2;14,5;0,9;2,4;3,7
07/2013;2,1;4,3;6,3;-0,2;0,2;2,4;-1,2;1,0;-4,3;4,2;14,5;1,0;2,4;4,8
06/2013;2,6;3,7;4,5;0,2;1,3;2,3;16,2;1,0;-5,2;4,1;14,5;1,0;2,3;5,0
05/2013;2,2;3,6;4,4;0,3;1,0;2,3;16,0;-0,9;-5,5;4,2;14,5;1,0;2,5;5,3
04/2013;1,8;2,9;5,4;0,3;1,5;1,8;14,8;-1,7;-5,4;1,9;14,5;0,9;2,4;5,3
03/2013;3,0;2,7;8,3;0,2;4,8;1,9;14,5;0,5;-4,0;4,4;14,5;1,2;2,4;5,4
02/2013;3,3;2,9;8,1;0,1;5,1;2,4;14,6;2,5;-4,1;3,7;14,5;1,4;2,6;5,2
01/2013;3,3;3,5;7,9;0,2;5,0;2,4;13,7;2,0;-4,0;3,9;14,5;1,6;2,4;5,2
12/2012;3,6;3,3;5,7;0,4;5,4;1,8;21,2;3,2;-4,8;4,5;14,7;1,4;2,7;5,2
11/2012;3,6;3,1;5,7;0,6;5,6;1,7;21,3;3,2;-4,9;3,9;14,7;1,7;2,7;5,3
10/2012;4,2;2,6;5,7;0,5;5,9;1,7;18,2;6,8;-4,0;5,3;14,8;2,1;2,7;5,6
09/2012;3,9;2,3;6,4;0,2;6,9;1,4;18,3;7,3;-4,4;3,2;4,9;1,7;2,2;4,5
08/2012;3,1;2,1;9,6;0,1;5,7;0,9;13,6;6,3;-6,1;1,5;3,7;1,7;2,1;2,4
07/2012;2,6;1,8;9,2;0,4;5,2;0,8;13,7;3,8;-6,0;1,7;3,7;1,5;2,1;1,4
06/2012;2,2;2,4;11,1;0,4;4,9;1,4;-3,5;3,4;-5,0;2,2;3,7;1,5;2,1;1,3
05/2012;2,3;2,0;6,0;0,7;4,9;1,6;-3,2;4,9;-4,8;2,0;3,7;1,5;2,3;1,6
04/2012;2,4;2,6;4,9;0,8;4,3;1,9;-3,0;5,7;-5,4;2,4;3,7;1,5;2,4;2,0
03/2012;2,2;2,6;2,1;0,6;3,2;1,9;-2,9;5,4;-4,9;3,0;3,7;1,5;2,5;2,0
02/2012;2,2;2,8;2,3;0,2;3,3;1,6;-2,9;5,5;-4,9;2,4;3,7;1,4;3,3;1,9
01/2012;2,2;2,4;2,3;0,4;3,4;1,5;-2,7;5,6;-5,0;2,8;3,7;1,0;4,1;2,1
12/2011;2,5;2,1;4,2;0,5;5,5;1,2;-2,3;4,9;-3,5;3,1;3,9;1,4;4,0;2,3
11/2011;3,0;2,1;10,0;0,6;5,7;1,6;-2,4;7,2;-3,6;2,1;3,9;1,5;4,0;2,1
10/2011;3,1;2,2;9,8;0,4;5,8;1,3;-0,1;7,7;-3,6;2,0;3,9;1,5;4,0;2,1
09/2011;3,2;2,3;8,6;0,1;6,4;1,1;-0,5;8,1;-3,3;2,4;3,1;1,5;4,1;2,3
08/2011;3,0;2,2;5,1;-0,1;6,4;1,2;-0,7;7,5;-3,2;2,3;2,9;1,6;4,1;2,6
07/2011;3,2;2,5;5,2;0,1;6,6;1,1;-0,1;7,9;-3,3;2,1;2,9;2,0;4,1;2,9
06/2011;3,3;2,4;3,6;0,5;6,8;1,9;0,1;7,8;-2,3;1,1;3,0;2,1;4,0;3,5
05/2011;3,5;2,5;13,9;0,6;6,9;1,5;-0,1;7,8;-2,2;1,2;3,0;2,0;3,8;3,7
04/2011;3,8;2,3;14,0;0,5;7,3;1,1;-0,8;9,2;-1,8;2,1;3,0;2,0;4,1;3,7
03/2011;3,5;1,8;14,0;0,5;7,2;1,1;-1,3;9,7;-2,3;-0,4;3,0;2,0;4,0;3,7
02/2011;3,6;1,5;13,7;0,4;7,4;1,4;-1,3;9,8;-2,2;1,3;3,0;1,9;3,8;3,6
01/2011;3,3;1,0;15,2;0,6;7,3;1,5;-1,3;8,9;-2,1;-0,4;3,0;2,1;3,0;3,7
12/2010;3,0;0,9;14,4;0,7;5,3;1,7;-1,4;9,1;-1,9;-0,7;2,6;2,1;3,6;3,4
11/2010;2,5;0,9;8,2;0,6;5,0;1,4;-1,3;6,5;-1,7;-0,3;2,6;1,9;3,6;3,7
10/2010;2,6;0,9;8,3;0,3;5,1;1,7;-1,2;6,8;-1,8;0,3;2,8;1,9;3,6;3,5
09/2010;2,4;0,6;8,4;0,1;4,1;1,5;-0,5;6,7;-1,5;-0,2;3,0;2,0;3,7;3,2
08/2010;2,1;0,5;8,4;0,0;3,8;1,4;-0,3;5,0;-1,7;1,0;3,1;1,7;3,7;3,1
07/2010;2,2;0,2;8,5;-0,1;4,2;1,7;-0,3;6,2;-1,7;0,4;3,1;1,6;3,7;2,5
06/2010;1,7;-0,2;12,4;-0,4;2,8;1,0;-0,3;5,4;-2,4;-0,8;3,1;1,3;3,8;2,1
05/2010;2,0;-0,9;11,7;-0,4;3,5;1,0;-0,3;8,1;-2,4;-0,9;3,1;1,3;3,8;1,9
04/2010;1,7;-1,2;11,5;-0,8;2,9;1,0;-1,6;8,4;-2,6;-1,9;3,1;1,3;3,5;1,7
03/2010;1,7;-1,1;11,3;-0,9;1,2;1,0;-0,6;8,4;-2,1;0,1;3,1;1,4;3,4;1,7
02/2010;1,2;-1,7;11,6;-1,0;0,9;0,9;-0,8;6,1;-2,3;-1,6;3,1;1,6;3,1;2,0
01/2010;1,4;-1,4;11,2;-1,0;1,0;0,9;-0,6;6,6;-2,4;-0,5;3,1;1,6;3,1;2,0
12/2009;1,2;-1,3;12,0;-0,6;0,6;1,3;-0,2;4,3;-2,6;0,2;3,1;1,7;3,9;1,7
11/2009;0,7;-1,3;12,0;-0,8;0,2;1,5;-0,5;1,3;-3,0;0,6;3,2;1,5;3,9;1,6
10/2009;-0,2;-1,4;11,9;-1,7;-0,2;1,4;-0,4;-4,2;-3,1;0,0;3,4;1,6;3,9;1,5
09/2009;-0,5;-1,2;12,3;-1,9;-0,1;1,5;-0,6;-6,7;-3,3;0,6;4,5;1,7;3,7;1,5
08/2009;-0,3;-0,9;12,4;-2,0;0,0;1,4;-0,5;-6,3;-3,2;0,2;5,4;2,0;3,8;1,8
07/2009;-0,9;-0,9;12,4;-1,9;-0,5;1,0;-0,5;-9,6;-3,4;1,3;5,4;1,9;3,8;1,9
06/2009;-0,5;-0,7;8,0;-1,4;1,0;1,3;-0,2;-8,9;-3,3;2,2;5,4;2,1;3,8;2,2
05/2009;-0,3;0,4;3,7;-1,2;1,3;1,7;-0,2;-9,3;-3,4;2,3;5,4;2,4;4,3;2,2
04/2009;0,4;0,8;3,9;-1,7;2,5;1,9;1,3;-7,6;-3,5;4,8;5,4;2,7;4,3;2,4
03/2009;0,4;1,4;4,1;-1,7;4,3;2,4;1,2;-8,4;-3,5;1,5;5,4;2,3;4,3;2,5
02/2009;1,0;2,2;4,1;-1,6;4,7;2,6;0,3;-6,3;-3,3;3,0;5,4;2,9;4,1;2,7
01/2009;1,1;2,4;3,8;-1,6;4,5;2,3;0,2;-6,4;-3,4;3,0;5,4;3,4;4,8;2,8
12/2008;1,6;2,6;3,9;0,6;6,0;2,4;0,2;-5,9;-3,3;2,7;5,4;3,9;3,7;3,7
11/2008;2,5;3,4;3,9;0,9;6,6;2,5;0,6;-1,7;-3,1;2,9;5,4;4,5;3,7;3,8
10/2008;3,6;4,1;4,0;0,8;7,3;2,3;0,6;4,0;-3,2;3,3;5,1;4,5;3,7;4,0
09/2008;4,5;5,8;4,2;0,6;7,7;2,3;0,6;7,0;-3,2;3,0;5,2;4,7;3,7;4,1
08/2008;4,8;6,3;4,1;0,5;7,9;2,3;0,4;8,6;-3,3;3,2;4,0;4,8;3,6;3,8
07/2008;5,1;6,2;4,0;0,6;8,2;2,3;0,5;10,6;-3,3;2,9;4,0;4,7;3,6;3,9
06/2008;4,9;6,6;4,0;0,9;6,9;2,4;0,5;10,1;-3,7;2,6;4,1;4,7;3,6;3,7
05/2008;4,5;6,1;4,0;1,0;6,4;2,8;0,5;8,5;-3,4;2,3;4,1;4,7;3,1;3,8
